"","Num","Treatment","Name","Hatchery","PhylumOther","sum_abun"
"90",15,"S4","T2","VIMS","Others",6.52426160337553
"91",16,"C","T3","VIMS","Bacteroidota",6.45042194092827
"92",16,"C","T3","VIMS","Firmicutes",0.102848101265823
"93",16,"C","T3","VIMS","Myxococcota",1.3792194092827
"94",16,"C","T3","VIMS","Proteobacteria",81.1972573839662
"95",16,"C","T3","VIMS","Unknown",6.69303797468354
"96",16,"C","T3","VIMS","Others",4.17721518987342
"97",17,"C","T3","VIMS","Bacteroidota",3.44672995780591
"98",17,"C","T3","VIMS","Firmicutes",0.543248945147679
"99",17,"C","T3","VIMS","Myxococcota",1.67194092827004
"100",17,"C","T3","VIMS","Proteobacteria",70.0949367088608
"101",17,"C","T3","VIMS","Unknown",22.3285864978903
"102",17,"C","T3","VIMS","Others",1.91455696202532
"103",18,"C","T3","VIMS","Bacteroidota",2.05959915611814
"104",18,"C","T3","VIMS","Firmicutes",0.487869198312236
"105",18,"C","T3","VIMS","Myxococcota",5.27689873417722
"106",18,"C","T3","VIMS","Proteobacteria",85.9704641350211
"107",18,"C","T3","VIMS","Unknown",4.46993670886076
"108",18,"C","T3","VIMS","Others",1.73523206751055
"109",19,"C","T3","VIMS","Bacteroidota",6.62447257383966
"110",19,"C","T3","VIMS","Firmicutes",2.28902953586498
"111",19,"C","T3","VIMS","Myxococcota",0.915084388185654
"112",19,"C","T3","VIMS","Proteobacteria",83.7579113924051
"113",19,"C","T3","VIMS","Unknown",4.81803797468354
"114",19,"C","T3","VIMS","Others",1.5954641350211
"115",20,"S4","T3","VIMS","Bacteroidota",1.6587552742616
"116",20,"S4","T3","VIMS","Firmicutes",1.46097046413502
"117",20,"S4","T3","VIMS","Myxococcota",7.89556962025317
"118",20,"S4","T3","VIMS","Proteobacteria",75.3349156118143
"119",20,"S4","T3","VIMS","Unknown",11.1102320675105
"120",20,"S4","T3","VIMS","Others",2.53955696202532
"121",21,"S4","T3","VIMS","Bacteroidota",3.082805907173
"122",21,"S4","T3","VIMS","Firmicutes",1.74050632911392
"123",21,"S4","T3","VIMS","Myxococcota",0.714662447257384
"124",21,"S4","T3","VIMS","Proteobacteria",84.0348101265823
"125",21,"S4","T3","VIMS","Unknown",6.83544303797468
"126",21,"S4","T3","VIMS","Others",3.59177215189873
"127",22,"S4","T3","VIMS","Bacteroidota",2.29957805907173
"128",22,"S4","T3","VIMS","Firmicutes",3.02478902953587
"129",22,"S4","T3","VIMS","Myxococcota",2.86392405063291
"130",22,"S4","T3","VIMS","Proteobacteria",79.4382911392405
"131",22,"S4","T3","VIMS","Unknown",11.1128691983122
"132",22,"S4","T3","VIMS","Others",1.26054852320675
"133",23,"S4","T3","VIMS","Bacteroidota",3.00369198312236
"134",23,"S4","T3","VIMS","Firmicutes",0.508966244725738
