#SampleID,SampleName,Trial,Treatment,SampleNumber,Tank_Replicate,Type,Num,Name,Hatchery,UV_NUV,Condition,Sample Type,Location
ET313_S99,UVL_CONC_2,T8,C,185,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET314_S105,UVL_CONC_3,T8,C,186,C,UV,62,T8_UV,RWU,Y,C_UV,Larvae,RhodeIsland
ET315_S111,UVL_S4A_1,T8,S4,187,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET316_S117,UVL_S4A_2,T8,S4,188,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET317_S123,UVL_S4A_3,T8,S4,189,A,UV,63,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET318_S129,UVL_S4B_1,T8,S4,190,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET319_S135,UVL_S4B_2,T8,S4,191,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET320_S140,UVL_S4B_3,T8,S4,192,B,UV,64,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET321_S100,UVL_S4C_1,T8,S4,193,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET322_S106,UVL_S4C_2,T8,S4,194,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
ET323_S112,UVL_S4C_3,T8,S4,195,C,UV,65,T8_UV,RWU,Y,S4_UV,Larvae,RhodeIsland
